id,attraction_id,phone,website,address,postal_code,municipality,city,Longitude,Latitude
88,148,416-661-6600,https://tommythompsonpark.ca/,1 Leslie St,M4M 3M2,former Toronto,Toronto,-79.32487,43.63519
89,149,416-397-1341,https://torontobotanicalgarden.ca/,777 Lawrence Ave E,M3C 1P2,North York,Toronto,-79.35817,43.73415
90,150,416-392-2489,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-hall/,100 Queen St W,M5H 2N1,former Toronto,Toronto,-79.38369,43.65303
91,152,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,1 Centre Island Pk,,former Toronto,Toronto,-79.37469,43.62256
92,154,416-973-4000,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1707&title=Toronto-Music-Garden,479 Queens Quay W,M5V 3M8,former Toronto,Toronto,-79.3943,43.63694
93,156,416-808-7020,https://www.tps.ca/museum/,40 College St,M5G 2J3,former Toronto,Toronto,-79.38482,43.66122
94,157,416- 214-9229,https://torontorailwaymuseum.com/,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,-79.38595,43.64071
95,158,416-395-5577,https://www.torontopubliclibrary.ca/torontoreferencelibrary/,789 Yonge St,M4W 2G8,former Toronto,Toronto,-79.38682,43.67179
96,161,416-392-5900,https://www.torontozoo.com/,2000 Meadowvale Rd,M1B 5W8,Scarborough,Toronto,-79.18229,43.82034
97,162,416-865-1833,http://www.townofyork.com/,260 Adelaide St E,M5A 1N1,former Toronto,Toronto,-79.3704,43.6519
98,164,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=238,19 Trinity Sq,M5G 1B1,former Toronto,Toronto,-79.38162,43.6547
99,165,416-923-9861,http://umcontario.com/,620 Spadina Ave,M5S 2H4,former Toronto,Toronto,-79.4021,43.66198
100,168,416-736-1733,https://blackcreek.ca/,1000 Murray Ross Pkwy,M3J 2P3,North York,Toronto,-79.51507,43.7726
101,169,416-338-4386,https://www.bloor-yorkville.com/village-yorkville-park-green-space-gem/,115 Cumberland St,M5R 1A6,former Toronto,Toronto,-79.39168,43.67002
102,170,416-396-7378,http://app.toronto.ca/tpha/beach/6.html,40 Lakeshore Ave,M5J 1X8,former Toronto,Toronto,-79.35224,43.63002
103,172,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,1675 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,-79.30709,43.66181
104,173,416-675-7223,https://woodbine.com/,555 Rexdale Blvd,M9W 7G3,Etobicoke,Toronto,-79.60412,43.71446
105,174,437-880-8448,http://www.fantasyfair.ca/,500 Rexdale Blvd,M9W 6K5,Etobicoke,Toronto,-79.60003,43.72067
106,175,416-789-3261,https://yorkdale.com/,3401 Dufferin St,M6A 2T9,North York,Toronto,-79.45217,43.72543
